팀명,결과,공격종합_성공률,오픈_성공률,시간차_성공률,이동_성공률,후위_성공률,속공_성공률,퀵오픈_성공률,서브_성공률,범실_범실,스타팅멤버,득점점유율
GS칼텍스,0.5882352941176471,22.33663717954159,18.823196123049065,7.761912433699198,1.6897916462622347,5.575239262643675,7.36332940888088,14.342962100535628,0.1089985757706346,1.5125646140352023,0.43987474943357296,0.04196019722880105
IBK기업은행,0.4551282051282051,21.65398798032452,18.73203681414739,11.832817690144614,6.333855426268888,5.3438891011054475,7.908352624227625,14.23474226592496,0.10580693434058819,1.726749176749177,0.5138172013172013,0.04519528541168991
KGC인삼공사,0.3904109589041096,22.823400763714975,19.598042937560916,9.242363239880364,4.320278684405396,4.552938536919702,7.550662561373178,14.456263960354715,0.095737139287653,1.5918142930129233,0.47764518586436394,0.04164006133800994
페퍼저축은행,0.1,18.59587662892663,17.570187423687422,12.101193084693085,2.9594385614385614,4.57790362970363,5.738504007104008,11.594958996558997,0.0876457042957043,1.5025052725052723,0.43323898323898324,0.034458015804760614
한국도로공사,0.6025641025641025,23.348061211580443,19.412026082357812,12.630641948507334,6.741228299834069,7.3178544817006355,7.578320429926198,15.35130957521823,0.0959303538342,1.6139364908595677,0.49442672711903474,0.04399513246667889
현대건설,0.5266666666666666,24.414759782439784,21.365445934990937,11.839284661449662,1.996785081955082,5.868162478817479,10.021193137048137,15.157052176897178,0.11539401413401414,1.888518278018278,0.5564227254227254,0.04949012988088109
흥국생명,0.5095541401273885,21.906051883007297,19.008696629626566,10.823913457031292,4.340973425725018,6.02240166450676,7.179099158095974,12.482069650448631,0.10080072722747882,1.5663469580667033,0.48565373055818917,0.0427468532224826
